date,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,Unemployed_ov12,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_CH,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_House,USB_10,LeadingCI,LaggingCI,VKOSPI
11-Mar,125.671,128.229,68.487,80.514,85.799,68.228,110.575,119.603,69.045,92.399,93.835,68.302,92.489,93.932,68.302,111.015,128.17,92.479,93.837,68.353,93.559,91.556,3.8,25192.9,24114.2,793.5,211.7,70.2,73.5,3.3,80.99279204,81.81013804,79.36766205,90,105,87,90,92,92.4,80.7511,86,87.4,72747.1,35183.8,37563.4,430936.6,1677475.9,3.35,3.53,3.42,3.74,4.13,4.51,4.54,3,10.58,1122.45,170.5040846,1376.2,1572.59,1814.31,1148.66,1222.29,89.238,81.874,82.614,85.756,92.74,107.089,91.89,87.655,156.78,114.4,98.42,120.54,131.61,182.22,213.33,118.79,127.77,118.17,124.26,2106.7,525.42,3.9,102.94,1.09,223.046,4.89,3.41,72.5,74.9,16.57
11-Apr,120.205,125.134,68.611,81.406,85.879,70.562,103.117,114.435,65.934,90.933,92.681,69.421,90.857,92.865,69.421,121.805,129.452,90.791,92.772,69.474,92.142,90.079,3.5,25524.4,24580.5,640.2,230.9,69.1,72.9,3.8,81.91610606,82.00673155,81.11500674,89,101,86,90,90,90.9,74.5073,86.3,81,73783.7,35560.4,38223.4,425420.5,1684792.3,3.4,3.54,3.43,3.74,4.1,4.48,4.54,3,10.58,1086.84,165.9611383,1304.81,1569.39,1777.41,1134.02,1209.3,89.325,81.189,82.695,85.507,92.923,107.39,92.071,87.4,159.84,115.09,97.96,121.51,126.63,204.03,220.65,123.7,125.5,115.52,122.52,2192.36,511,4,110.04,1.05,224.093,4.88,3.46,72.5,75.3,18.36
11-May,122.794,127.991,69.79,81.417,85.96,71.448,106.833,114.787,68.873,91.362,93.213,70.475,91.198,93.487,70.475,128.888,134.708,91.147,93.393,70.527,90.527,88.255,3.3,25774.5,24950,532.8,242.2,45.9,49.5,3.6,82.03916481,82.04255074,81.33797293,94,106,89,93,90,91.4,75.5512,86.3,81.6,74440.9,36031.9,38409,423994.7,1690543,3.46,3.58,3.43,3.66,3.97,4.34,4.44,3,10.48,1083.54,166.9358321,1333.6,1551.34,1770.17,1119.74,1239.03,89.497,80.351,83.669,86.089,92.923,107.089,92.071,87.995,154.72,115.69,97.86,121.45,124.23,198.38,205.3,129.41,124.45,117.3,120.36,2142.47,484.54,3.9,101.33,0.91,224.806,4.9,3.17,72.6,75.8,18.56
11-Jun,122.388,127.872,71.413,81.436,85.558,73.193,110.757,118.546,70.85,92.109,93.923,72.181,91.997,94.109,72.181,133.858,142.398,91.939,94.015,72.234,89.687,89.818,3.3,25900.4,25052.5,576,220.4,43.6,51.4,7.8,82.42181782,82.02561278,82.18275933,91,103,90,91,91,92.1,83.0123,86.8,80.7,75055.7,36341.8,38714,421885.3,1697204.2,3.53,3.69,3.49,3.65,3.92,4.24,4.4,3.25,10.44,1081.27,166.8768135,1342.81,1555.38,1754.47,1106.53,1285.47,89.67,80.961,83.75,86.422,93.29,106.587,92.161,87.995,159.95,115.18,97.91,121.61,123.66,198.63,203.51,133.87,123.51,126.46,118.93,2100.69,479.55,4,96.29,0.75,224.806,4.87,3,72.6,76.1,19.24
11-Jul,123.473,128.706,71.114,81.923,86.523,73.091,108.585,118.076,71.106,92.227,94.101,72.423,92.222,94.375,72.423,130.007,132.144,92.125,94.28,72.475,90.702,89.385,3.3,25780.2,24933.1,572.9,224.4,47.4,49.8,2.4,82.74857127,81.98858441,82.93467653,87,101,89,90,90,92.2,72.3735,87.5,77.6,75373.6,36573.8,38799.9,418973.1,1705451.5,3.59,3.74,3.59,3.77,3.98,4.23,4.48,3.25,10.47,1059.5,163.7505643,1333.36,1515.37,1709.8,1108.25,1285.88,90.102,82.484,84.156,86.422,93.381,107.892,92.161,87.995,158.93,114.34,98.26,120.74,118.02,196.48,204.05,137.92,121.29,117.74,116.66,2133.21,536.05,4,97.19,0.64,225.395,4.9,3,72.7,76.5,21
11-Aug,124.277,128.825,72.4,80.716,86.282,74.583,105.804,118.429,67.136,91.658,94.101,73.123,91.827,94.375,73.123,122.318,136.502,91.748,94.28,73.177,88.327,87.56,3.2,25556.1,24783.7,495.1,218.5,54.6,58.8,4.2,83.15004704,82.03542732,83.75381638,87,97,89,90,91,91.7,73.8639,88.1,79.9,76263.7,37056.5,39207.2,422649.3,1719437.8,3.59,3.73,3.5,3.57,3.73,3.96,4.29,3.25,10.27,1073.17,167.7003916,1391.35,1538.73,1756.58,1094.76,1376.27,90.707,84.997,84.237,86.505,93.565,108.394,92.252,88.08,158.5,114.4,98.92,120.73,120.58,206.58,197.62,147.53,121.95,128.38,117.46,1880.11,493.44,4.3,86.33,0.46,226.106,4.97,2.3,72.8,76.8,28.05
11-Sep,123.066,128.11,74.147,82.431,88.131,75.412,106.749,116.549,68.968,91.872,94.811,74.401,91.68,94.998,74.401,151.349,144.32,91.589,94.902,74.455,91.229,90.774,3.3,25372.3,24604.3,491.6,227.4,45.7,48.9,3.3,83.56592908,82.04226495,84.65664378,85,99,89,89,91,91.9,77.4534,87,81.2,77246.8,37670.5,39576.4,425196.4,1729531.1,3.58,3.71,3.41,3.45,3.56,3.75,4.24,3.25,10.18,1118.61,175.6150975,1456.48,1542.38,1765.12,1117.9,1289.3,90.62,84.768,84.237,87.004,93.657,108.193,92.252,88.165,165.17,115.63,99.17,122.61,124.56,207.64,207.62,152.99,125.97,138.15,120.88,1769.65,449.66,4.3,85.61,0.34,226.597,5,1.98,72.8,76.9,40.56
11-Oct,125.347,127.278,75.878,83.219,88.855,76.686,106.377,113.142,71.417,93.927,94.989,76.06,93.851,95.087,76.06,123.866,131.118,93.769,94.991,76.117,92.131,93.12,3.2,25709.6,24964.8,477.1,204.4,61.5,63.3,1.8,83.87087987,82.02736827,85.34611932,87,99,90,89,91,93.9,79.4259,87.4,80.4,77254.4,37909,39345.4,421480.1,1742645.4,3.58,3.71,3.46,3.47,3.6,3.86,4.29,3.25,10.22,1155.45,180.6142093,1508.22,1583.95,1819.51,1131.54,1287.22,90.448,82.788,83.831,87.004,93.657,108.895,92.343,88.08,168.4,116.05,99.58,123.37,124.92,208.03,210.29,157.7,127.28,139.31,122.34,1909.03,490.69,4.3,86.41,0.4,226.75,5.01,2.15,72.9,77.1,31.02
11-Nov,122.973,125.134,81.541,81.587,87.408,77.411,107.477,112.437,71.845,91.921,93.391,77.017,92.071,93.843,77.017,125.791,132.785,92.074,93.748,77.074,86.888,84.433,3.3,25620.5,24885.4,480.1,195.7,57,59.3,2.3,84.16923158,81.95895366,86.08976522,83,95,88,86,92,91.9,72.9649,87.1,82.9,78017.3,38294.1,39723.2,423111.9,1753296.4,3.56,3.71,3.42,3.39,3.53,3.8,4.24,3.25,10.09,1132.31,178.3203884,1459.96,1536.59,1790.38,1105.43,1248.27,90.534,82.56,86.022,87.087,93.657,108.695,92.432,88.251,167.47,114.56,99.31,121.94,118.71,213.21,214.94,153.66,124.06,135.03,119.12,1847.51,492.81,4.2,97.21,0.38,227.169,5.01,2.01,72.9,77.3,29.04
11-Dec,117.499,122.395,89.722,80.172,86.443,77.814,106.562,113.964,73.936,90.217,92.947,78.379,90.392,92.865,78.379,121.497,136.374,90.314,92.772,78.437,92.048,94.77,3.2,25181.2,24420.7,505.3,205.8,46.5,49.5,3,84.28354018,81.85923555,86.46643214,82,94,87,86,93,90.2,82.5239,86.2,79.2,77884.5,38666.2,39218.3,432602.2,1756597.4,3.55,3.7,3.4,3.36,3.51,3.81,4.24,3.25,10.04,1147.45,180.8582697,1473.43,1511,1789.24,1120.99,1230.37,90.879,83.779,86.022,87.503,93.748,108.695,92.523,88.59,166.63,114.35,99.89,121.67,114.92,209.37,213.33,154.39,124.87,134.57,119,1825.74,500.18,4.1,98.57,0.41,227.223,4.95,1.98,72.9,77.6,26.4
12-Jan,127.775,132.634,78.828,79.603,88.694,77.028,106.331,116.902,71.234,92.501,95.965,75.798,92.921,95.976,75.798,122.895,134.452,92.798,95.879,75.855,95.556,95.117,3.2,24883.8,24023.7,592.1,208.7,57.4,59.4,2,84.48983353,81.73119974,87.01447019,78,89,85,85,93,92.5,69.9665,87.4,83.6,79132.7,39150.1,39982.6,439352.9,1757058.7,3.55,3.69,3.39,3.37,3.5,3.8,4.24,3.25,10.04,1145.85,180.5123972,1488.74,1477.23,1776.15,1129.41,1219.48,91.242,85.287,85.99,88.168,94.811,109.136,92.777,86.584,169.81,114.95,99.75,120.65,115.66,201.31,220.6,153.63,126.22,131.95,120.12,1955.79,513.99,4.2,100.24,0.41,227.842,5.06,1.97,73.1,77.7,23.36
12-Feb,132.001,136.921,77.317,86.794,89.9,77.421,111.137,118.312,71.459,95.884,96.853,76.131,96.425,97.042,76.131,122.99,135.476,96.39,96.944,76.187,92.83,92.946,3.4,25128.6,24079,752,227.1,68.5,70.4,2,84.49587646,81.65100276,87.105596,80,90,87,86,92,95.9,72.2504,88.1,85.1,79531.2,39950.8,39580.4,437193.9,1762988.4,3.53,3.66,3.41,3.43,3.55,3.81,4.25,3.25,10.02,1123.35,178.2135311,1433.65,1485.99,1774.9,1126.18,1231.15,91.588,84.989,86.736,88.817,95.132,110.281,93.058,87.01,171.08,115.34,100.15,121.13,114.55,200.3,228.8,150.19,125.95,127.44,119.7,2030.25,542.3,4.1,102.25,0.4,228.329,5.02,1.97,73.6,77.8,19.4
12-Mar,125.836,129.063,76.666,82.642,87.649,78.588,106.311,113.259,70.318,93.185,93.923,76.633,93.269,94.286,76.633,115.767,128.556,93.257,94.28,76.624,94.121,85.041,3.3,25518.6,24566,659,219.5,73.5,74.1,0.6,84.51362484,81.45600189,87.33397064,82,91,88,89,93,93.2,74.9052,87.4,87,78770.4,39926,38844.4,440075.4,1773172.9,3.54,3.66,3.47,3.55,3.69,3.95,4.36,3.25,10.09,1125.9,178.4036822,1364.08,1487.13,1781.31,1133.7,1232.65,91.614,85.827,86.761,89.008,95.205,111.947,92.46,83.983,175.02,116.26,100.54,122.39,116.88,193.31,241.4,153.61,126.79,120.87,120.51,2014.04,519.56,4.1,106.19,0.48,228.807,5,2.17,73.9,77.9,17.56
12-Apr,127.164,130.73,76.788,83.554,87.89,78.209,107.306,116.197,69.724,94.127,95.166,76.452,94.087,95.264,76.452,125.154,133.17,94.01,95.168,76.509,93.354,94.336,3.3,25959,25057.9,607.6,225.4,68.1,68.1,0,84.46435804,81.21344268,87.47716023,84,96,91,89,92,94.1,71.1807,87.5,82,81565.2,40334.8,41230.4,437445.3,1777114.7,3.54,3.63,3.45,3.5,3.64,3.9,4.25,3.25,9.96,1135.55,180.0388093,1393.87,1495.55,1817.58,1144.1,1243.92,91.605,85.5,86.403,88.534,93.895,112.529,92.922,84.348,172.97,116.78,100.69,122.6,118.23,182.63,232.93,156.64,126.43,119.02,121.02,1981.99,478.89,3.9,103.33,0.45,229.187,4.94,2.05,74.3,78,17.31
12-May,128.5,132.634,76.648,84.67,89.659,79.027,107.579,116.784,70.099,94.584,96.676,76.755,94.484,96.864,76.755,141.376,135.604,94.349,96.766,76.813,91.75,92.164,3.1,26242.6,25430.5,513.2,234.9,61.8,64,2.2,84.38769613,80.95337944,87.5840258,86,95,91,92,92,94.6,72.8379,88.4,84.3,81405.6,40808,40597.6,438795.3,1784220.5,3.54,3.6,3.37,3.38,3.49,3.75,4.01,3.25,9.63,1154.27,182.899107,1447.08,1478.58,1839.51,1144,1230.8,91.769,85.355,87.832,89.008,94.059,112.298,93.193,84.399,167.63,116.02,100.78,121.24,117.07,183.78,216.51,162.52,125.31,121.6,120.02,1843.47,471.94,3.8,94.7,0.38,228.713,4.85,1.8,74.3,78.1,22.69
12-Jun,119.99,124.895,76.818,83.479,89.257,77.571,107.106,115.961,68.901,92.836,95.699,75.567,92.713,95.976,75.567,140.537,138.681,92.574,95.879,75.558,90.798,89.471,3.2,26241.2,25411.5,496.8,276.2,53.8,56.7,2.9,84.2042228,80.60107072,87.57058274,83,94,90,88,92,92.8,70.7761,88,83.2,81902.9,41209.7,40693.1,441611,1796981.5,3.54,3.57,3.29,3.29,3.41,3.63,3.87,3.25,9.48,1165.51,182.8290992,1469.08,1462.27,1812.98,1134.5,1217.41,91.639,84.883,88.417,89.025,94.197,111.084,93.248,84.416,157.99,114.05,100.25,118.37,114.57,185.52,192.34,165.47,122.88,128.74,118.28,1854.01,489.16,3.8,82.41,0.34,228.524,4.76,1.62,74.5,78.3,20.03
12-Jul,122.078,125.491,76.364,82.463,88.694,76.184,106.674,114.669,68.256,92.203,94.811,74.713,92.196,94.909,74.713,126.171,137.271,92.102,94.813,74.704,91.82,93.554,3.1,26180.8,25377.8,509.8,231.9,57.9,61.3,3.4,83.98051642,80.21980893,87.50639369,79,90,87,87,92,92.2,74.6312,88.9,84.6,83148.4,41485.1,41663.3,441760.6,1807289.2,3.34,3.39,3.02,3.01,3.12,3.3,3.6,3,9.18,1143.36,179.2724724,1446.38,1406.96,1783.21,1127,1171.4,91.432,84.304,88.408,88.684,93.602,109.136,93.411,83.345,158.56,112.27,99.83,116.91,113.24,177.4,198.29,163.99,120.84,129.57,116.69,1881.99,467.61,3.7,87.93,0.28,228.59,4.64,1.53,74.5,78.5,20.32
12-Aug,116.925,123.229,75.778,80.83,85.799,80.137,102.363,113.259,69.358,90.499,92.414,77.809,90.502,92.42,77.809,120.522,119.968,90.424,92.416,77.802,91.871,92.512,3.2,25890.7,25120.5,474.6,219.2,72.4,76.4,4,83.7444931,79.78291051,87.47456424,70,83,82,84,89,90.5,69.9347,88.6,82.5,82846.5,41887,40959.5,439573.2,1817134.9,3.19,3.21,2.84,2.83,2.94,3.09,3.4,3,8.79,1131.69,177.9676255,1438.35,1402.81,1777.84,1138.82,1167.88,91.855,85.363,88.408,88.7,93.574,110.381,93.809,83.889,163.59,112.69,100.29,117.88,114.29,173.9,215.04,163,121.06,126.83,116.68,1905.12,508.35,3.6,94.16,0.25,229.918,4.41,1.68,74.5,78.6,20.35
12-Sep,117.717,123.11,73.61,82.136,88.855,78.501,109.175,120.896,65.113,91.535,95.433,75.916,91.358,95.62,75.916,110.426,125.864,91.35,95.612,75.84,91.956,90.253,3.2,26013.9,25256.6,438,230.3,85.1,89,3.9,83.54744264,79.3790573,87.48871259,72,86,82,81,89,91.5,75.2907,88.7,82,83290.3,42299.3,40991,440034.3,1819290.1,3.14,3.2,2.85,2.81,2.89,3.05,3.31,3,8.69,1124.78,177.6884577,1438.63,1445.97,1810.74,1148.88,1196.42,92.512,88.478,88.417,89.258,93.666,111.475,93.908,85.182,163.58,113.26,100.45,118.4,113.7,170.05,218.66,159.13,122.01,118.95,116.91,1996.21,523.78,3.5,94.72,0.2,231.015,4.29,1.72,74.5,78.8,17.23
12-Oct,123.262,122.633,76.209,82.92,89.016,78.119,109.8,118.781,67.966,93.859,95.433,76.41,93.68,95.531,76.41,111.316,132.4,93.689,95.434,76.401,94.153,93.554,3.1,26036.9,25314.9,434.7,212.1,71.9,75.2,3.3,83.38886201,79.02330366,87.53246089,69,84,85,83,90,93.9,74.325,88.2,82.4,84099.6,42771.1,41328.5,444477.8,1822420.9,2.93,3.04,2.81,2.78,2.85,2.97,3.3,2.75,8.68,1106.93,176.5016138,1400.86,1435.95,1778.51,1121.78,1187.03,92.339,87.061,88.018,88.709,93.675,111.425,93.954,85.3,157.46,112.43,99.76,116.95,112.34,148.07,210.73,146.48,119.57,114.77,114.47,1912.06,508.31,3.3,89.57,0.16,231.638,4.23,1.75,74.7,79,18.37
12-Nov,118.063,120.729,77.56,84.768,89.578,81.351,113.351,118.312,72.649,94.569,95.788,79.436,94.537,95.798,79.436,109.209,125.736,94.452,95.701,79.43,94.276,96.073,3.2,25896,25182.1,416.8,220.7,72.9,76.4,3.5,83.25339878,78.71104105,87.57928859,69,81,81,80,90,94.6,75.4782,88.3,82.6,84772.5,43387.9,41384.6,445463.9,1830280.3,2.85,2.98,2.79,2.8,2.87,2.99,3.32,2.75,8.71,1087.52,174.365751,1344.04,1395.9,1736.65,1090.57,1158.09,92.011,84.921,89.479,88.759,93.72,110.421,94.035,85.028,153.68,111.23,99.1,115.44,109.41,136.7,203.86,140.09,116.59,111.74,111.3,1932.9,499.37,3.2,86.66,0.2,231.249,4.19,1.65,75,79.2,14.87
12-Dec,114.951,120.967,74.657,85.837,90.865,85.18,111.595,119.721,74.229,94.479,97.208,81.953,94.679,97.042,81.953,115.584,125.35,94.666,96.944,81.948,97.121,100.851,3.1,25378,24637,437.8,225.3,74.3,77.8,3.5,83.07656696,78.31934184,87.62703528,66,78,81,80,92,94.5,78.8844,87.8,84,85108.3,43547.2,41561.2,457778.9,1835556.7,2.88,2.99,2.8,2.85,2.98,3.13,3.3,2.75,8.79,1076.97,172.5099333,1288.05,1411.39,1736.77,1087.89,1167.72,92.175,85.538,89.479,88.244,93.739,110.11,94.098,85.411,149.68,110.34,99.12,114.2,108.23,134.18,200.15,140.91,115.43,109.96,110.48,1997.05,496.32,3.1,88.25,0.33,231.221,4.16,1.72,75.3,79.4,15.89
13-Jan,125.125,125.729,77.101,85.899,91.347,85.099,111.143,120.074,76.749,95.923,97.031,82.314,96.571,97.397,82.314,118.146,126.76,96.614,97.299,82.31,92.841,89.993,3.2,25137.8,24286.5,586.5,201.6,61.9,63.2,1.3,82.8633871,77.89828298,87.63259625,69,80,80,80,93,95.9,74.2173,88.4,84.2,85345,44121.4,41223.5,464914.5,1841128.1,2.86,2.95,2.72,2.75,2.86,3.05,3.2,2.75,8.72,1065.35,171.4244492,1196.82,1415.66,1701.75,1074.25,1152.18,92.728,87.29,89.455,88.36,94.591,110.421,94.66,85.377,148.27,110.19,99.18,113.91,107.68,142.42,200.93,143.53,113.98,108.61,110.42,1961.94,503.67,3.2,94.69,0.33,231.679,4.17,1.91,75.4,79.7,15.18
13-Feb,119.056,119.895,81.088,84.253,90.302,81.792,110.577,119.956,76.299,94.004,96.143,80.487,94.358,96.241,80.487,118.074,125.608,94.326,96.144,80.482,94.619,95.465,3.2,25205.9,24214.6,717.8,202.6,68.9,70.9,2,82.72067113,77.61962738,87.63362604,71,81,85,84,94,94,76.4593,89.7,93.6,86269,44663.1,41605.8,472239.6,1857135,2.83,2.91,2.68,2.7,2.83,3.04,3.06,2.75,8.66,1086.68,174.4643118,1166.43,1452.33,1682.55,1078.23,1180.43,93.038,87.754,89.641,89.025,94.637,110.963,94.959,85.581,152.9,111.34,99.8,115.44,109.58,142.89,210.95,148.57,116.38,106.88,113.12,2026.49,535.87,3.2,95.32,0.36,232.937,4.06,1.98,75.7,79.9,15.19
13-Mar,117.117,120.729,75.521,83.901,89.578,82.125,106.772,114.787,76.937,93.064,94.722,80.19,93.286,94.998,80.19,122.917,132.144,93.184,94.902,80.119,92.26,90.253,3.1,25620.5,24736.2,599.3,225.2,52.9,59.8,6.9,82.65606793,77.44511472,87.68535241,73,85,88,85,93,93.1,77.9929,88.6,83.8,88814,46001.9,42812.1,472430.1,1862405.5,2.81,2.88,2.6,2.6,2.69,2.91,2.95,2.75,8.55,1102.2,177.4405819,1161.1,1427.45,1661.6,1075.82,1164.21,92.952,86.902,89.618,88.925,94.702,111.806,94.153,84.382,157.22,111.18,99.68,115.77,111.59,145.42,203.29,151.36,116.06,109.43,113.41,2004.89,555.02,3.2,93.05,0.31,232.282,3.97,1.96,75.9,80.1,14.34
13-Apr,118.52,121.681,72.863,85.181,89.82,81.165,104.176,113.964,75.529,93.663,94.989,78.987,93.563,94.998,78.987,132.544,128.042,93.41,94.902,78.98,95.337,95.291,3,26148.8,25322.1,541.1,236.2,45.3,49.3,4,82.75354386,77.44577409,87.88367642,75,86,87,84,90,93.7,82.3055,89.2,89.2,88719,47324.3,41394.6,475330,1867726.3,2.8,2.87,2.58,2.55,2.63,2.84,2.91,2.75,8.53,1121.83,181.1959199,1148.4,1459.59,1715.92,1101.26,1196.71,92.823,86.992,88.733,88.634,94.536,110.843,94.225,84.127,155.2,110.81,99.74,115.21,112.41,150.33,199.35,151.01,116.02,110.39,114.09,1963.95,563.87,3.1,92.07,0.26,231.797,3.86,1.76,76.1,80.3,14.74
13-May,114.79,118.586,74.537,85.259,90.141,80.968,106.94,116.784,76.182,93.175,95.521,79.041,93.007,95.531,79.041,131.204,131.118,92.88,95.523,78.97,92.901,94.77,3,26408.9,25610.4,494.2,253.4,42.1,50.8,8.7,82.89616007,77.54354404,88.07290943,76,87,86,85,89,93.2,80.7933,89.5,86.7,89906.4,47892,42014.4,475526.7,1870289.7,2.72,2.79,2.59,2.59,2.68,2.9,2.96,2.5,8.59,1110.67,180.9770723,1100.33,1441.54,1698.19,1088.74,1161.46,92.823,86.094,89.925,88.576,94.866,109.377,94.316,85.292,151.85,109.88,99.24,114.02,110.76,151.19,194.88,148.94,113.85,108.46,113.09,2001.05,577.87,2.9,94.8,0.31,231.893,3.77,1.93,76.4,80.6,14.16
13-Jun,116.77,121.801,72.281,84.677,90.624,81.121,106.225,115.609,74.52,93.25,96.676,78.549,93.115,96.686,78.549,114.469,125.736,93.058,96.589,78.542,93.313,96.247,3.1,26499.2,25685.5,479.4,261.1,68.4,73.2,4.7,82.92487659,77.48064316,88.19855272,75,84,85,86,89,93.3,81.8863,89.2,82.8,91317.4,48606.6,42710.8,486587.5,1884193.2,2.69,2.75,2.66,2.87,3.08,3.31,3.24,2.5,8.87,1135.21,185.0310964,1165.7,1498.69,1759.26,1101.05,1216.15,92.71,85.112,90.153,88.967,94.848,109.407,94.379,85.547,153.75,110.19,99.49,114.52,111.08,152.55,198.86,153.48,116.38,112.3,115.99,1863.32,519.06,2.8,95.8,0.65,232.445,3.73,2.3,76.8,80.8,17.11
13-Jul,114.027,116.562,75.97,85.112,90.624,83.161,102.318,112.789,72.482,92.406,94.989,80.136,92.247,94.909,80.136,132.731,132.785,92.159,94.813,80.131,92.761,96.42,3.2,26508.7,25681.3,510.8,239.5,74.4,77.2,2.8,82.86668645,77.2520594,88.32190792,73,82,83,84,91,92.4,81.6566,89.1,86,91922.1,49349.4,42572.7,488982.7,1890728.6,2.68,2.74,2.66,2.91,3.18,3.47,3.38,2.5,9.02,1127.23,183.4013938,1130.68,1475.13,1712.01,1082.61,1193.04,92.909,85.728,89.593,88.435,93.968,110.311,94.407,85.53,152.19,109.79,99.56,113.97,108.67,142.65,203.91,150.76,115.05,107.06,114.97,1914.03,554.31,2.9,104.61,0.81,232.9,3.77,2.58,77.2,80.9,16.26
13-Aug,109.127,114.656,76.884,85.798,92.715,82.324,106.459,119.016,74.249,93.64,97.297,80.44,93.743,97.397,80.44,135.566,140.347,93.662,97.299,80.369,92.494,95.465,3.2,26296.3,25513,481,227.3,72,75,3,82.7584929,77.02858965,88.33744766,70,83,84,84,91,93.6,80.4671,90,84.3,93921.3,50005.4,43915.9,481416.9,1888658.4,2.66,2.72,2.66,2.94,3.26,3.61,3.33,2.5,9.02,1116.98,182.3057925,1142.11,1488.42,1730.08,1074.45,1207.57,93.238,87.731,90.161,88.726,94.051,110.913,94.461,82.129,152.05,109.74,99.86,113.92,107.34,139.36,209.15,155.63,115.08,106.03,114.22,1926.36,516.74,3,106.57,0.95,233.456,3.8,2.74,77.5,81.1,15.73
13-Sep,110.105,113.704,80.165,85.245,91.186,84.418,103.68,112.084,74.666,91.861,94.811,82.5,91.722,94.909,82.5,136.45,140.219,91.623,94.813,82.495,93.191,93.12,3,26422.1,25701.3,424.1,221.9,73.3,74.7,1.4,82.79695852,77.03181985,88.41333767,73,83,85,84,91,91.9,83.2589,89.6,85.3,93848,50564.3,43283.7,490518.7,1903187.1,2.66,2.73,2.67,2.9,3.17,3.53,3.29,2.5,8.99,1087.35,176.8536304,1095.09,1449,1719.46,1047.41,1174.55,93.419,87.754,90.721,89.125,94.234,110.411,94.569,85.963,151.93,109.12,99.44,113.37,104.34,138.96,205.67,149.24,112.33,102.28,111.43,1996.96,534.89,2.9,106.29,0.86,233.544,3.82,2.81,77.7,81.4,15.38
13-Oct,115.737,116.562,82.061,85.562,92.313,83.925,110.387,117.607,78.266,95.01,96.942,83.203,94.812,97.042,83.203,134.602,141.116,94.653,96.944,83.199,94.398,94.683,3.1,26522.3,25797.9,450.1,205.3,67.6,69,1.4,83.03445814,77.28481559,88.63269245,76,86,85,85,92,95,84.5016,89.9,87.8,94578.2,51554.5,43023.7,491947.9,1908557.6,2.66,2.74,2.66,2.83,3.08,3.44,3.25,2.5,8.96,1066.8,174.6386963,1089.59,1455.23,1716.7,1029.37,1181.46,93.134,85.79,90.697,89.499,94.289,109.98,94.597,86.431,149.65,108.57,98.82,112.63,102.24,133.62,197.86,145.11,110.36,104.85,109.34,2030.09,532.44,2.9,100.54,0.78,233.669,3.81,2.62,78,81.7,14.41
13-Nov,112.319,115.49,82.338,85.948,91.427,86.158,110.244,116.197,78.303,94.064,96.232,84.554,93.936,96.241,84.554,119.505,140.86,93.934,96.144,84.551,96.179,95.639,3.1,26497.1,25795.4,421.5,222.3,56.5,57.9,1.4,83.19601218,77.39355136,88.84966329,76,85,85,84,92,94.1,84.9068,89.9,85.2,94802.4,52220.9,42581.5,499242.7,1923339.2,2.65,2.78,2.705,2.936,3.237,3.584,3.366,2.5,9.066,1062.82,174.2287223,1063.67,1434.24,1710.73,1014.18,1164.22,93.116,84.434,93.277,90.073,94.289,109.277,94.624,86.601,146.72,108.11,98.96,111.9,101.58,133.89,196.34,145.39,109.91,102.32,108.51,2044.87,517.06,2.9,93.86,0.879,234.1,3.77,2.72,78.3,82.1,14.42
13-Dec,112.859,118.824,81.212,88.032,93.358,87.125,110.613,114.316,82.419,95.228,97.652,85.549,95.531,97.753,85.549,118.473,136.886,95.519,97.654,85.548,94.642,97.028,3.2,26023.4,25248.1,483.4,239.4,51.6,52.5,0.9,83.3300442,77.44085805,89.075681,75,85,84,84,92,95.2,81.5448,88.9,84.5,97109.8,52794.2,44315.6,509617.9,1932026.4,2.65,2.82,2.685,2.941,3.299,3.653,3.36,2.5,9.058,1056.67,173.8013701,1021.51,1447.17,1729.95,993.16,1181.57,93.229,84.738,93.196,89.416,94.307,109.498,94.696,86.66,145.72,108.19,99.11,111.86,100.56,132.29,198.88,148.25,110.02,101.27,108.16,2011.34,499.99,2.9,97.63,0.968,234.719,3.74,2.9,78.7,82.3,12.84
