date,PI_CA,SI_CA,II_CA,PI_I,SI_I,II_I,PI_CO,SI_CO,II_CO,PI_W,SI_W,II_W,PI_MM,SI_MM,II_MM,PI_MQ,SI_MQ,II_MQ,PI_MF,SI_MF,II_MF,SI_E,Unemployment,Act_pop_total,Employed_total,Unemployed_3mts,Unemployed_3_6mts,Unemployed_6_12mts,Unemployed_ov6,Unemployed_ov12,HousePrice,HousePrice_S,HousePrice_P,BSI_BC,BSI_SG,BSI_P,BSI_FS,BSI_HR,PI_P,PI_C,PI_SI,PI_PA,MB,Currency_cir,CBLIAB_DC,M1,M2,CD,CP,YT_1,YT_3,YT_5,YT_10,CB_3_AA,BaseRate,CB_3_BBB,FX_US,FX_CH,FX_JP,FX_EU,FX_BR,FX_CA,FX_SW,CPI,CPI_F,CPI_C,CPI_H,CPI_HE,CPI_T,CPI_E,CPI_M,SPI_R,SPI_I,SPI_F,SPI_RI,IPI_A,IPI_B,IPI_C,IPI_L,IPI_M,EPI_A,EPI_M,KOSPI,KOSDAQ,Expected_inf,Oilprice,TB_spread,USCPI,IR_House,USB_10,LeadingCI,LaggingCI,VKOSPI
09-Sep,104.401,109.62,62.303,70.376,74.534,54.824,101.862,111.168,62.761,80.622,82.8,57.729,80.474,82.938,57.729,123.825,134.49,80.381,82.899,57.775,83.137,79.282,3.6,24811.1,23982.5,503.2,237.6,80.8,87.8,7,77.67496372,82.38830199,71.89138896,87,95,90,92,96,80.6,89.6538,82,82.8,61136.7,26179.2,34957.5,367070.3,1535279.8,2.64,2.86,3.44,4.4,4.85,5.38,5.58,2,11.77,1219.15,177.4930587,1332.42,1774.17,1989.99,1126.4,1171.58,84.459,71.747,79.614,82.888,90.356,98.338,88.909,82.336,111.2,102.27,93.38,104.79,94.12,115.79,144.71,92.67,117.48,103.46,120.85,1673.14,505.94,3.7,69.46,1.94,215.861,5.77,3.4,68.8,70.3,22.85
09-Oct,101.896,105.62,64.985,68.435,73.625,54.365,99.713,112.226,59.047,79.054,81.61,56.637,78.838,81.677,56.637,131.668,148.742,78.708,81.568,56.682,82.437,80.741,3.6,24842,24038.3,499,221.9,78.6,82.8,4.2,77.96413435,82.70047869,72.15346215,88,96,89,93,94,79.1,83.52,82.2,80.1,62826.4,26631.9,36194.5,371531.7,1551319.5,2.79,2.97,3.52,4.47,4.91,5.45,5.6,2,11.8,1175.25,171.9345201,1300.78,1742.87,1903.15,1117.16,1151.17,84.235,71.316,79.684,82.741,90.356,96.992,88.909,82.401,112.85,100.81,92.1,103.86,93.77,112.75,150.48,94.57,114.26,96.04,117.2,1580.69,486.46,3.5,75.82,1.93,216.509,5.9,3.39,69.4,70.5,25.41
09-Nov,106.082,110.132,63.025,68.762,74.252,55.943,101.681,111.802,57.527,80.236,82.8,57.196,80.111,82.876,57.196,124.684,129.299,79.965,82.766,57.242,83.661,81.81,3.7,24806.9,23982.8,528,221,70.5,75.2,4.7,78.15545537,82.76584259,72.47104482,89,100,92,93,94,80.2,84.8746,81.7,80.4,62396.4,27372.5,35023.9,370979.7,1564175.8,2.79,2.97,3.28,4.32,4.84,5.39,5.43,2,11.6,1164.23,170.3275355,1304.43,1736.61,1933.85,1098.64,1149.94,84.384,70.209,80.864,83.036,90.439,98.17,88.909,83.167,117.65,101.24,92.86,105.04,94.74,119.6,158.21,100.05,115.06,97.66,117.48,1555.6,464.32,3.3,78.08,2.11,217.234,5.87,3.4,70,70.7,21.94
09-Dec,110.555,116.264,69.449,68.882,75.153,56.433,103.426,115.28,57.383,81.14,84.46,58.057,81.128,84.529,58.057,131.937,139.514,81.042,84.418,58.102,83.96,84.068,3.6,24244.5,23406.3,568.1,199.5,65.8,70.6,4.7,78.26969575,82.72903451,72.73876103,85,97,90,91,95,81.1,83.2731,83.1,81.2,62411.9,28006.8,34405.1,376977.3,1570027.1,2.82,3,3.3,4.24,4.76,5.31,5.35,2,11.45,1166.45,170.3872067,1300.81,1703.73,1894.44,1104.74,1133.95,84.682,71.316,80.933,82.962,90.105,98.255,88.983,83.55,117.36,102.1,93.29,105.62,96.33,121.5,153.89,106.64,116.28,97.82,118.43,1682.77,513.57,3.2,74.3,2.01,217.347,5.9,3.59,70.3,70.8,20.35
10-Jan,112.288,112.394,71.098,70.536,76.07,60.349,101.912,110.322,62.03,82.669,83.804,61.718,82.78,83.623,61.718,121.715,128.298,82.668,83.539,61.764,90.422,88.082,4.7,24258.3,23040.7,885,264.5,62.5,68.1,5.6,78.36931006,82.75861769,72.90919824,86,97,91,92,95,82.7,87.4692,82.4,71.5,64012.4,28688.6,35323.8,381218.2,1574215.8,2.88,3.12,3.29,4.29,4.84,5.35,5.4,2,11.47,1138.82,166.7216605,1248.26,1627.52,1841.29,1092.54,1102.59,85.351,73.039,80.747,82.512,91.366,99.06,89.355,84.17,116.8,102.47,94.17,106.24,95.5,156.26,152.97,104.16,114.81,90.64,117.41,1602.43,496.57,3.1,78.22,2.06,217.488,5.88,3.73,70.6,71.1,23.29
10-Feb,109.763,111.085,70.821,72.439,76.23,63.249,103.863,113.847,61.524,83.259,84.336,63.637,83.32,84.245,63.637,122.561,130.606,83.309,84.16,63.684,87.949,87.299,4,24217,23047.4,851,251.9,62.7,66.7,4,78.57333863,82.85537425,73.2214017,90,104,92,93,93,83.3,85.1517,83.7,91.7,64421.9,28947.2,35474.7,387858.6,1595403.8,2.88,3.12,3.12,4.19,4.76,5.3,5.32,2,11.39,1157.08,169.2409019,1281.72,1584.53,1811.05,1094.32,1080.2,85.523,73.878,80.666,82.762,91.457,98.959,89.446,84.339,117.43,102.86,94.79,106.67,98.11,125.75,149.12,108.54,116.3,91.1,118.85,1594.58,507.03,3.1,76.42,2.18,217.281,5.75,3.69,70.7,71.5,20.59
10-Mar,110.742,113.109,69.534,73.838,78.723,61.678,105.566,113.73,65.586,85.098,86.466,63.356,85.179,86.466,63.356,127.5,135.476,85.01,86.29,63.402,86.966,86.778,3.7,24567.1,23559.9,679,267.2,58.1,61,2.9,78.74687057,82.88745481,73.53926359,96,110,94,94,92,85.1,86.0679,83.8,88.2,65460.3,29568,35892.3,386015.4,1607896.1,2.83,3.06,2.83,3.94,4.47,4.92,5.02,2,11.08,1137.64,166.4300882,1255.84,1544.89,1712.75,1111.84,1066.8,85.696,74.41,80.666,82.595,91.457,99.762,90.442,84.51,121.54,102.91,94.95,107.11,99.99,149.36,154.2,106.69,115.94,98.12,118.3,1692.85,515.74,3,81.24,2.09,217.353,5.47,3.73,70.7,71.8,17.68
10-Apr,109.329,113.942,68.473,75.555,79.768,62.633,106.606,118.898,68.889,86.069,88.064,64.576,85.936,88.067,64.576,122.607,135.604,85.789,87.978,64.625,88.484,88.082,3.6,25052.5,24116.4,623.5,241.9,68.4,70.7,2.3,78.88441969,82.8229846,73.88525803,94,107,94,94,92,86.1,81.0693,83.6,80.3,64999.4,30090,34909.4,388174.7,1621176.9,2.51,2.72,2.67,3.77,4.44,4.91,4.69,2,10.75,1117.11,163.4240597,1195.31,1501.68,1713.14,1111.7,1047.19,86.041,75.553,80.666,82.679,91.549,100.565,90.622,84.339,123.19,103.68,95.08,107.98,99.62,159.05,163.28,106.87,115.53,104.76,118.57,1741.56,523.75,3,84.48,2.24,217.403,5.07,3.85,70.7,72,18.27
10-May,113.619,117.752,64.939,76.2,80.25,63.38,108.068,118.898,68.561,86.621,88.774,64.334,86.564,89.044,64.334,124.806,128.042,86.424,88.954,64.381,85.701,84.346,3.2,25292.7,24495.1,474,261.7,59.5,61.8,2.3,78.90369068,82.53157097,74.22951894,98,111,95,95,91,86.6,84.6215,84.9,83.1,67871.7,30591.1,37280.6,394880.2,1630904.7,2.45,2.67,2.73,3.7,4.41,4.95,4.48,2,10.54,1163.11,170.6114289,1265.23,1460.68,1706.35,1118.34,1029.91,86.128,75.172,80.828,83.095,91.64,100.766,90.713,84.68,124.34,105.83,95.46,110.09,102.98,169.49,156.36,114.33,119,110.25,121.5,1641.25,489.42,3,73.84,2.22,217.29,4.78,3.42,71,72.3,24.01
10-Jun,114.836,121.443,65.25,76.277,81.055,64.154,108.093,119.016,66.983,86.94,90.017,64.49,86.874,90.287,64.49,128.874,133.426,86.732,90.196,64.538,84.76,82.956,3.5,25352.3,24474.2,565.4,256.7,53.7,56,2.3,78.90235562,82.25350118,74.52011287,95,108,92,95,91,86.9,84.7736,84.5,84.3,66535.4,31271.6,35263.7,400132.8,1647981.2,2.45,2.72,2.92,3.75,4.41,4.93,4.65,2,10.62,1212.33,178.0629003,1333.59,1480.85,1786.99,1168.21,1074.85,86.041,74.182,81.315,83.178,91.64,100.465,90.713,84.849,127,106.92,95.59,111.36,107.14,180.25,156.97,118.34,122.2,116.71,125.03,1698.29,489.98,2.9,75.35,2.01,217.199,4.62,3.2,71.2,72.6,21.9
10-Jul,115.4,120.014,67.378,77.451,81.779,64.609,106.75,121.013,67.492,87.608,90.195,65.345,87.647,90.465,65.345,117.545,132.144,87.644,90.374,65.457,84.219,83.391,3.8,25435.2,24499.6,660.9,204.6,66.2,70.2,4,78.77809818,81.83187621,74.71318989,93,105,92,94,91,87.6,84.209,84.3,75.7,68238.3,31863.2,36375.1,403785.1,1653057.5,2.58,2.81,3.14,3.88,4.45,4.91,4.81,2.25,10.75,1207.3,177.6517225,1377.67,1540.31,1842.87,1155.5,1144.58,86.214,74.563,81.396,82.928,91.732,100.967,90.713,85.19,128.84,106.87,95.64,111.49,107.01,186.06,153.13,119.57,122.07,118.44,124.19,1759.33,481.45,3,76.37,1.77,217.605,4.7,3.01,71.4,72.8,19.26
10-Aug,117.767,124.539,65.376,75.645,81.055,65.409,104.8,119.134,68.497,86.956,89.928,66.082,87.115,90.199,66.082,118.329,120.48,87.039,90.108,66.131,85.119,85.041,3.5,25050.5,24214.3,539.6,223.3,69.8,73.3,3.6,78.69866369,81.49237103,74.91297949,93,105,92,94,91,87,81.4083,83.9,77.3,68051.6,32161.5,35890,400882.5,1653907.2,2.63,2.85,3.13,3.73,4.27,4.68,4.68,2.25,10.62,1179.92,173.783136,1380.19,1523.33,1848.57,1135.52,1134.15,86.647,76.467,81.396,83.261,91.823,100.766,90.803,85.275,127.56,106.58,95.78,111.11,108.8,183.51,153.13,120.15,120.93,114.13,120.85,1742.75,464.71,3.1,76.82,1.55,217.923,4.81,2.7,71.4,73,18.79
10-Sep,118.387,121.324,68.078,76.4,81.538,65.872,108.548,120.191,67.247,87.194,90.106,66.875,87.017,90.287,66.875,112.416,115.61,87.015,90.196,66.925,86.092,86.257,3.8,25133.9,24270.2,574.8,220.7,63.4,68.3,4.9,78.74992472,81.33489355,75.18859617,93,108,90,90,91,87.2,79.2913,83.7,78.8,69749.7,32441.3,37308.4,404413.5,1659400.1,2.66,2.82,2.99,3.48,3.91,4.28,4.41,2.25,10.36,1167.01,172.1055785,1384.17,1518.69,1814.29,1126.27,1162.79,87.337,80.351,81.477,83.428,91.916,99.963,90.803,85.7,128.29,106.87,96.58,111.45,110.62,178.45,153.59,117.28,120.74,119.92,119.79,1872.81,492.75,3.1,75.31,1.29,218.275,4.8,2.65,71.5,73.2,16.77
10-Oct,119.705,122.633,70.039,76.039,81.618,65.954,107.401,117.607,67.912,88.343,89.84,67.233,88.134,90.022,67.233,124.908,129.324,88.063,89.931,67.282,87.872,86.257,3.7,25236,24398,562.5,219.9,54.1,55.7,1.5,78.88441261,81.23658858,75.57405987,92,105,91,93,90,88.3,76.4298,84,80.5,69912.1,33107.7,36804.4,405000.1,1669376.6,2.66,2.8,2.8,3.24,3.66,4.11,4.13,2.25,10.14,1123.45,168.2626477,1371.09,1559.56,1779.47,1102.97,1159.37,87.337,80.504,81.396,83.76,91.64,100.164,90.894,85.53,129.62,107.21,95.93,111.89,111.52,166.31,157.74,111.06,118.91,114.35,116.27,1882.95,526.45,3.3,81.9,1.31,219.035,4.74,2.54,71.3,73.4,18.6
10-Nov,120.296,125.372,70.693,76.418,82.824,65.816,109.418,117.841,67.872,88.671,91.349,66.909,88.577,91.443,66.909,122.637,125.094,88.499,91.351,66.959,91.131,90.514,3.3,25091.5,24346.6,464.5,226.7,52.2,53.7,1.6,79.14067284,81.19191346,76.15640702,89,101,90,92,91,88.7,77.8008,84.3,80.1,70574.8,33415.7,37159.2,414912.8,1679909.9,2.73,2.85,2.92,3.4,4.03,4.48,4.19,2.5,10.27,1126.2,169.7708531,1366.58,1541.34,1799.3,1112.53,1144.54,86.906,77.914,80.909,83.843,91.732,100.465,90.984,85.785,132.85,108.15,96.02,113.07,113.12,166.7,164.67,106.95,121.02,114.28,116.91,1904.63,498.39,3.2,84.14,1.56,219.59,4.65,2.76,71.5,73.6,22.76
10-Dec,120.1,124.895,73.942,77.763,83.95,66.255,111.458,119.603,72.516,90.006,92.325,68.263,90.174,92.331,68.263,113.617,124.07,90.092,92.238,68.313,92.342,93.206,3.7,24790.2,23931.3,562,229.6,66.5,67.4,0.9,79.41057851,81.21742778,76.69260385,91,103,90,91,92,90,82.7973,84.9,80.9,71193.2,34012.1,37181.2,425673.9,1682871.9,2.8,2.97,2.87,3.25,4.02,4.46,4.17,2.5,10.21,1147.55,172.2612741,1376.72,1515.36,1789.46,1137.16,1183.29,87.251,77.914,82.371,84.176,91.732,102.272,90.984,85.955,139.26,109.85,96.82,115.28,120.86,169.87,178.52,111.44,125.16,117.62,120.36,2051,510.69,3.2,89.04,1.59,220.472,4.67,3.29,71.6,73.9,15.83
11-Jan,125.902,128.825,70.164,79.52,86.604,65.768,112.801,125.361,68.701,92.916,95.255,66.621,93.182,95.087,66.621,126.421,130.478,93.057,94.991,66.671,98.957,97.897,3.5,24362.4,23438.9,604.8,255.9,60.8,62.8,2,79.73653691,81.32084812,77.26193081,89,99,88,91,94,92.9,78.2958,86.8,87.6,72180,34665.4,37514.6,429368.1,1676448.8,2.93,3.12,3.09,3.71,4.3,4.69,4.52,2.75,10.52,1120.07,169.6175119,1356.27,1495.37,1765.44,1127.28,1171.39,88.288,80.504,82.452,84.592,92.557,104.48,91.437,86.38,140.59,111.06,97.59,115.63,123.35,169.94,181.2,110.65,123.15,114.77,118.22,2069.73,521.38,3.6,89.42,1.6,221.187,4.8,3.39,72,74.2,16.3
11-Feb,120.65,122.752,64.793,79.645,84.914,66.179,108.234,118.193,69.652,89.952,92.414,66.432,90.272,92.42,66.432,127.703,138.681,90.144,92.327,66.482,92.013,92.25,3.7,24693.5,23589.2,809.9,226.6,65.7,67.8,2.1,80.29437425,81.5513947,78.17982434,87,97,86,90,93,90,70.4624,84.6,74.2,72536.6,34648.2,37888.4,432482.8,1674390.5,3.13,3.31,3.39,3.94,4.41,4.76,4.72,2.75,10.74,1118.14,169.9232631,1350.97,1524.62,1802.06,1130.99,1175,88.892,82.103,82.533,85.341,92.923,105.082,91.618,86.72,147.25,112.23,97.82,117.48,126.67,179.62,196.19,115.15,124.61,117.99,120.59,1939.3,504.46,3.7,89.58,1.37,221.898,4.86,3.58,72.3,74.5,20.06
